Date ,County ,Unecomployment Rate,Unempolyment Number ,CalFresh Households,CalFresh Persons ,Warn Employees,Under $75000
2010,Inyo ,9.708333333,947.5,,,,5658
2010,Kern ,15.66666667,58158.33333,,,,174746
2010,Kings ,16.125,9583.333333,,,,29146
2010,Lake ,15.09166667,4503.333333,,,,19944
2010,Lassen ,14.05,1699.166667,,,,7034
2010,Los Angeles ,12.50833333,615083.3333,,,,2028493
2010,Madera ,16.64166667,10250,,,,30489
2010,Marin ,7.85,10441.66667,,,,44291
2010,Mariposa ,13.03333333,1126.666667,,,,5293
2010,Mendocino ,11.60833333,4830,,,,25809
2010,Merced ,17.95833333,20375,,,,54912
2010,Modoc ,15.225,580,,,,3144
2010,Mono ,10.25,908.3333333,,,,3422
2010,Monterey ,12.85,27458.33333,,,,76448
2010,Napa ,10.29166667,7241.666667,,,,26814
2010,Nevada ,11.73333333,5736.666667,,,,26147
2010,Orange ,9.741666667,149741.6667,,,,496223
2010,Placer ,11.6,20108.33333,,,,65012
2010,Plumas ,18.35833333,1670,,,,7615
2010,Riverside ,13.84166667,135150,,,,415230
2010,Sacramento ,12.61666667,86133.33333,,,,323273
2010,San Benito ,15.09166667,4216.666667,,,,9188
2010,San Bernardino ,13.525,120391.6667,,,,381973
2010,San Diego ,10.75833333,162933.3333,,,,612474
2010,San Francisco ,8.916666667,43325,,,,174444
2010,San Joaquin ,16.51666667,51441.66667,,,,138316
2010,San Luis Obispo ,10.05833333,13441.66667,,,,64330
2010,San Mateo ,8.366666667,32833.33333,,,,111645
2010,Santa Barbara ,9.708333333,20583.33333,,,,86170
2010,Santa Clara ,10.41666667,96416.66667,,,,258651
2010,Santa Cruz ,13.31666667,18841.66667,,,,52371
2010,Shasta ,16.78333333,13175,,,,51413
2010,Sierra ,15.425,248.3333333,,,,994
2010,Siskiyou ,16.84166667,3304.166667,,,,16337
2010,Solano ,12.575,25441.66667,,,,76684
2010,Sonoma ,10.85,26516.66667,,,,106658
2010,Stanislaus ,16.9,41091.66667,,,,111851
2010,Sutter ,18.38333333,8441.666667,,,,21652
2010,Tehama ,15.41666667,3960.833333,,,,18777
2010,Trinity ,17.04166667,922.5,,,,4752
2010,Tulare ,17.20833333,34908.33333,,,,93303
2010,Tuolumne ,15.23333333,3445,,,,15754
2010,Ventura ,10.84166667,46583.33333,,,,131520
2010,Yolo ,12.1,12341.66667,,,,42851
2010,Yuba ,17.75833333,5166.666667,,,,17252
2011,Alameda ,10.08333333,79366.66667,,,,281305
2011,Alpine ,13.125,76.66666667,,,,227
2011,Amador ,13.61666667,2055.833333,,,,8907
2011,Butte ,13.68333333,13758.33333,,,,63108
2011,Calaveras ,14.01666667,2899.166667,,,,11989
2011,Colusa ,21.45833333,2415.833333,,,,4902
2011,Contra Costa ,10.29166667,54541.66667,,,,177376
2011,Del Norte ,13.30833333,1448.333333,,,,7702
2011,El Dorado ,11.7,10508.33333,,,,37080
2011,Fresno ,16.53333333,73283.33333,,,,199693
2011,Glenn ,15.51666667,2044.166667,,,,7057
2011,Humboldt ,10.56666667,6875,,,,21515
2011,Imperial ,28.85,22925,,,,35993
2011,Inyo ,9.708333333,940.8333333,,,,5319
2011,Kern ,14.83333333,56641.66667,,,,175080
2011,Kings ,15.90833333,9400,,,,28695
2011,Lake ,14.53333333,4301.666667,,,,19760
2011,Lassen ,13.54166667,1595.833333,,,,6820
2011,Los Angeles ,12.18333333,600533.3333,,,,2003794
2011,Madera ,16.18333333,10016.66667,,,,30106
2011,Marin ,7.258333333,9783.333333,,,,44350
2011,Mariposa ,13.25,1140.833333,,,,5045
2011,Mendocino ,11.4,4667.5,,,,25351
2011,Merced ,17.65,20233.33333,,,,54839
2011,Modoc ,16.01666667,577.5,,,,3019
2011,Mono ,10.13333333,888.3333333,,,,3333
2011,Monterey ,12.76666667,27400,,,,76433
